benchmark,arm,implementation,metric,metric_name,judge,tokens_in,tokens_out,llm_calls,latency_p50_s,error_rate,parse_failure_rate,units
meeting-assistant,jac/byLLM,byLLM,1.0,task count in expected range,,28842,7553,30,8.126766666666667,0.0,0.0,30
meeting-assistant,framework,CrewAI,1.0,task count in expected range,,57384,10849,30,11.844166666666666,0.0,0.0,30
Email-Auto-response,jac/byLLM,byLLM,0.6333333333333333,filtering F1,4.59,35510,6594,72,,,0.22216666666666665,6
Email-Auto-response,framework,CrewAI-LangGraph,0.7999999999999999,filtering F1,4.0075,106420,7509,61,,,0.0,6
YTNavigator,jac/byLLM,byllm,0.188,retrieval hit rate,,58863,6424,2.7,4.57,0.0,0.0,23
YTNavigator,framework,langgraph,0.2,retrieval hit rate,,89402,3280,2.86,4.07,0.087,0.619,23
RagGPT,framework,langgraph,0.9940000000000001,routing accuracy,4.06,4486.0,410.0,2.71,7.134,0.0,,per turn
RagGPT,jac/byLLM,jac,0.985,routing accuracy,4.09,6865.0,394.0,3.62,8.998,0.0,,per turn
RagGPT,jac/byLLM (router variant),jac-byllm-router,0.993,routing accuracy,4.13,6959.0,388.0,3.59,9.007,0.0,,per turn
